episode,steps,reward,coins,invalid,self_kill,eps
377,65,-1.9,7,16,0,0.26
378,199,-8.1,12,43,1,0.25
379,27,-12.8,1,7,1,0.25
380,38,3.6,10,3,0,0.25
381,54,-0.8,7,10,0,0.25
382,5,-11.0,1,1,1,0.25
383,27,0.1,8,3,0,0.24
384,95,-5.2,12,16,1,0.24
385,44,-3.1,7,8,0,0.24
386,55,-0.8,7,7,0,0.24
387,16,-3.4,7,1,1,0.24
388,215,-6.0,9,41,0,0.23
389,45,-3.5,9,9,1,0.23
390,57,3.1,18,6,1,0.23
391,179,-12.6,10,51,1,0.23
392,15,-11.9,1,3,1,0.23
393,35,1.7,8,4,0,0.22
394,26,-5.3,8,2,1,0.22
395,17,-5.9,6,2,1,0.22
396,400,-4.5,14,67,0,0.22
397,34,0.7,6,1,0,0.22
398,57,-8.1,5,13,1,0.21
399,28,6.5,12,1,0,0.21
400,101,-14.2,3,11,1,0.21
401,34,-4.2,9,5,1,0.21
402,72,-9.0,7,8,1,0.21
403,35,3.2,9,1,0,0.2
404,75,-6.3,5,13,0,0.2
405,32,-3.1,8,2,1,0.2
406,32,-2.6,4,4,0,0.2
407,28,0.4,7,2,0,0.2
408,167,-10.2,9,26,1,0.19
409,26,-8.7,5,5,1,0.19
410,48,6.8,13,3,0,0.19
411,39,6.0,12,4,0,0.19
412,18,-2.2,3,1,0,0.19
413,21,1.6,7,1,0,0.18
414,56,-0.7,14,10,1,0.18
415,28,-7.7,6,4,1,0.18
416,22,-0.1,5,1,0,0.18
417,43,3.7,10,4,0,0.18
418,294,-17.1,9,80,1,0.17
419,124,-4.1,12,13,1,0.17
420,35,3.2,9,2,0,0.17
421,36,3.7,9,1,0,0.17
422,32,5.4,10,1,0,0.17
423,400,-13.6,11,118,0,0.16
424,42,6.4,12,2,0,0.16
425,40,-2.1,8,10,0,0.16
426,115,-2.9,15,29,1,0.16
427,16,-1.6,4,4,0,0.16
428,27,1.1,6,1,0,0.15
429,42,2.6,9,4,0,0.15
430,59,5.4,13,5,0,0.15
431,88,-5.9,9,17,1,0.15
432,27,1.4,7,2,0,0.15
433,39,1.2,12,2,1,0.14
434,400,-1.6,10,82,0,0.14
435,20,-0.5,9,0,1,0.14
436,46,3.0,10,3,0,0.14
437,101,0.7,10,24,0,0.14
438,35,1.2,7,1,0,0.13
439,24,-1.1,9,0,1,0.13
440,66,2.6,11,9,0,0.13
441,39,8.2,14,0,0,0.13
442,46,2.2,8,3,0,0.13
443,34,5.6,11,3,0,0.12
444,400,-11.7,11,126,0,0.12
445,23,0.5,6,3,0,0.12
446,128,-3.9,10,37,1,0.12
447,400,-10.1,7,70,0,0.12
448,48,-1.4,9,9,0,0.11
449,129,-2.1,13,26,0,0.11
450,68,-0.9,8,5,0,0.11
451,68,-7.3,9,13,1,0.11
452,117,-7.5,9,29,1,0.11
453,47,3.0,10,6,0,0.11
454,46,5.8,12,2,0,0.1
455,42,8.1,14,1,0,0.1
456,45,5.2,12,4,0,0.1
457,31,2.0,8,0,0,0.1
458,37,1.0,10,3,0,0.1
459,8,-9.3,1,1,1,0.09
460,23,2.4,8,1,0,0.09
461,124,5.5,12,11,0,0.09
462,21,-0.7,8,6,0,0.09
463,50,12.2,19,1,0,0.09
464,52,0.3,11,8,0,0.08
465,19,5.8,11,1,0,0.08
466,22,1.8,7,2,0,0.08
467,77,4.3,12,4,0,0.08
468,72,2.1,11,17,0,0.08
469,400,-4.6,7,39,0,0.07
470,400,-4.8,10,83,0,0.07
471,53,-8.8,7,5,1,0.07
472,89,7.1,16,11,0,0.07
473,28,3.2,8,1,0,0.07
474,40,16.3,22,0,0,0.06
475,54,7.0,14,4,0,0.06
476,25,0.2,8,2,0,0.06
477,27,-1.9,7,7,0,0.06
478,39,2.1,8,3,0,0.06
479,219,0.5,14,39,0,0.05
480,41,1.2,7,3,0,0.05
481,73,2.3,10,6,0,0.05
482,153,1.7,11,1,0,0.05
483,400,8.0,21,8,0,0.05
484,33,8.7,14,1,0,0.04
485,53,7.9,13,1,0,0.04
486,36,0.3,6,5,0,0.04
487,38,5.3,11,4,0,0.04
488,38,4.5,11,5,0,0.04
489,75,9.9,18,2,0,0.03
490,18,-6.1,2,3,0,0.03
491,51,10.5,17,3,0,0.03
492,400,5.2,16,29,0,0.03
493,124,10.7,20,18,0,0.03
494,22,6.1,11,1,0,0.02
495,19,3.0,8,1,0,0.02
496,104,8.2,17,1,0,0.02
497,38,7.6,13,2,0,0.02
498,66,2.5,11,10,0,0.02
499,25,3.9,9,1,0,0.01
500,19,2.1,7,1,0,0.01
501,400,2.9,12,5,0,0.01
502,53,2.0,10,9,0,0.01
503,140,5.2,14,26,0,0.01
504,47,2.7,10,2,0,0.01
505,62,10.8,18,0,0,0.01
506,29,5.1,11,3,0,0.01
507,71,6.4,13,2,0,0.01
508,88,-3.2,7,15,0,0.01
509,97,4.3,14,12,0,0.01
510,26,2.5,8,0,0,0.01
511,57,11.7,18,0,0,0.01
512,16,2.3,7,0,0,0.01
513,20,0.0,5,2,0,0.01
514,400,0.2,16,66,0,0.01
515,32,6.4,12,2,0,0.01
516,34,1.8,7,2,0,0.01
517,400,2.8,17,15,0,0.01
518,34,9.9,15,0,0,0.01
519,23,4.9,10,1,0,0.01
520,82,-0.5,15,5,1,0.01
521,54,3.9,10,0,0,0.01
522,50,8.6,15,5,0,0.01
523,76,4.6,12,3,0,0.01
524,26,5.8,11,0,0,0.01
525,27,1.3,7,1,0,0.01
526,65,8.8,16,6,0,0.01
527,18,1.1,6,2,0,0.01
528,33,5.3,10,0,0,0.01
529,91,10.8,19,1,0,0.01
530,21,4.5,10,3,0,0.01
531,59,6.6,17,8,0,0.01
532,20,3.9,9,2,0,0.01
533,23,-4.9,4,2,0,0.01
534,174,3.7,15,18,0,0.01
535,400,-3.4,8,6,0,0.01
536,400,5.0,16,10,0,0.01
537,70,5.4,13,3,0,0.01
538,28,6.6,12,2,0,0.01
539,37,3.9,10,6,0,0.01
540,29,2.9,8,3,0,0.01
541,36,5.1,11,2,0,0.01
542,91,10.2,19,1,0,0.01
543,28,3.3,11,3,0,0.01
544,62,8.9,15,3,0,0.01
545,24,1.9,7,0,0,0.01
546,34,3.8,9,3,0,0.01
547,106,9.8,19,24,0,0.01
548,28,5.4,11,3,0,0.01
549,40,6.3,12,2,0,0.01
550,96,7.1,15,1,0,0.01
551,34,2.9,12,6,0,0.01
552,20,-0.2,5,2,0,0.01
553,58,4.7,12,6,0,0.01
554,20,-1.1,4,1,0,0.01
555,32,6.6,12,2,0,0.01
556,23,3.3,12,5,0,0.01
557,24,5.8,11,0,0,0.01
558,86,6.9,14,2,0,0.01
559,42,6.9,13,2,0,0.01
560,400,6.4,16,61,0,0.01
561,400,0.5,15,81,0,0.01
562,400,-1.7,12,68,0,0.01
563,33,6.5,12,1,0,0.01
564,40,6.7,12,0,0,0.01
565,19,3.8,9,1,0,0.01
566,72,8.7,17,11,0,0.01
567,21,3.1,8,1,0,0.01
568,41,8.1,14,1,0,0.01
569,60,7.4,17,7,0,0.01
570,34,-1.0,8,6,0,0.01
571,31,7.6,13,1,0,0.01
572,33,2.7,8,0,0,0.01
573,39,7.3,16,2,0,0.01
574,62,-0.8,6,1,0,0.01
575,31,4.1,10,0,0,0.01
576,400,6.0,20,83,0,0.01
577,400,3.4,13,13,0,0.01
578,28,2.8,8,2,0,0.01
579,23,2.3,7,1,0,0.01
580,63,7.3,14,0,0,0.01
581,27,1.1,10,6,0,0.01
582,35,9.7,16,3,0,0.01
583,15,-2.2,3,1,0,0.01
584,33,6.3,12,2,0,0.01
585,32,10.6,16,0,0,0.01
586,64,6.9,14,2,0,0.01
587,88,6.2,15,0,0,0.01
588,21,2.1,7,1,0,0.01
589,400,10.9,19,1,0,0.01
590,58,5.9,13,2,0,0.01
591,45,6.0,12,1,0,0.01
592,41,9.3,15,0,0,0.01
593,36,1.0,7,3,0,0.01
594,63,0.7,8,7,0,0.01
595,23,5.7,11,1,0,0.01
596,47,6.0,12,3,0,0.01
597,21,5.0,10,0,0,0.01
598,400,12.1,14,4,0,0.01
599,27,2.5,8,3,0,0.01
600,400,8.8,18,3,0,0.01
601,35,9.6,15,0,0,0.01
602,35,2.4,8,2,0,0.01
603,27,5.0,10,1,0,0.01
604,63,8.1,15,2,0,0.01
