episode,steps,reward,coins,invalid,self_kill,eps
427,23,-7.671,3,2,1,0.157
428,70,-18.741,1,50,1,0.155
429,28,-9.464,5,4,1,0.153
430,24,-11.551,3,12,1,0.151
431,41,-14.303,1,20,1,0.149
432,96,-12.242,6,30,1,0.147
433,70,-13.672,4,36,1,0.145
434,20,-13.988,0,2,1,0.143
435,41,-6.244,9,16,1,0.141
436,27,-11.468,3,18,1,0.139
437,24,-8.742,4,2,1,0.137
438,15,-7.016,5,1,1,0.135
439,36,-10.096,2,6,1,0.133
440,197,-24.406,1,9,1,0.131
441,53,-15.469,0,3,1,0.129
442,19,-5.761,4,0,1,0.127
443,10,-10.756,2,2,1,0.125
444,27,-8.568,2,0,1,0.123
445,40,-8.701,6,10,1,0.121
446,10,-11.353,2,1,1,0.119
447,90,-10.122,6,17,1,0.117
448,45,-10.184,6,13,1,0.115
449,18,-7.158,3,2,1,0.113
450,72,-12.049,6,33,1,0.111
451,49,-7.152,7,7,1,0.109
452,83,-18.288,3,46,1,0.107
453,62,-14.056,3,6,1,0.105
454,115,-17.092,1,22,1,0.103
455,39,-8.352,6,5,1,0.101
456,39,-11.226,1,10,1,0.099
457,59,-11.967,3,30,1,0.097
458,40,-8.724,3,14,1,0.095
459,9,-9.681,3,1,1,0.093
460,35,-9.757,3,11,1,0.091
461,17,-14.323,0,8,1,0.089
462,39,-10.178,4,15,1,0.087
463,86,-11.538,4,5,1,0.085
464,64,-15.531,1,0,1,0.083
465,58,-13.631,3,6,1,0.081
466,28,-10.763,3,3,1,0.079
467,61,-12.128,5,30,1,0.077
468,30,-6.679,5,14,1,0.075
469,106,-16.216,2,5,1,0.073
470,25,-8.476,4,6,1,0.071
471,141,-20.386,2,2,1,0.069
472,207,-15.895,11,23,1,0.067
473,9,-9.543,3,3,1,0.065
474,58,-10.218,4,2,1,0.063
475,9,-10.101,2,3,1,0.061
476,66,-17.208,0,5,1,0.06
477,49,-2.444,10,13,1,0.058
478,68,-13.457,2,0,1,0.056
479,16,-8.398,2,3,1,0.054
480,220,-19.788,8,48,1,0.052
481,54,-15.876,1,9,1,0.05
482,16,-9.843,3,2,1,0.048
483,56,-5.127,8,23,1,0.046
484,34,-11.397,3,6,1,0.044
485,28,-9.456,5,8,1,0.042
486,87,-15.161,3,16,1,0.04
487,118,-15.067,5,28,1,0.038
488,62,-12.318,2,12,1,0.036
489,72,-9.656,5,1,1,0.034
490,28,-4.532,8,11,1,0.032
491,23,-12.613,2,10,1,0.03
492,161,-19.138,2,13,1,0.028
493,20,-7.811,5,3,1,0.026
494,316,-29.762,3,2,1,0.024
495,40,-10.278,5,17,1,0.022
496,78,-16.233,1,3,1,0.02
497,12,-11.033,2,5,1,0.018
498,56,-8.111,8,23,1,0.016
499,19,-7.243,4,4,1,0.014
500,182,-23.72,3,57,1,0.012
501,320,-23.356,9,43,1,0.01
502,33,-11.718,3,12,1,0.01
503,83,-10.077,4,11,1,0.01
504,68,-7.214,8,26,1,0.01
505,90,-12.686,3,17,1,0.01
506,400,-20.215,7,6,0,0.01
507,22,-7.508,3,2,1,0.01
508,96,-18.133,2,10,1,0.01
509,63,-15.406,4,40,1,0.01
510,16,-8.773,2,9,1,0.01
511,400,-19.174,3,7,0,0.01
512,114,-16.437,2,29,1,0.01
513,114,-16.133,4,27,1,0.01
514,400,-21.666,4,0,0,0.01
515,400,-14.658,11,27,0,0.01
516,55,-10.248,6,13,1,0.01
517,59,-10.177,7,20,1,0.01
518,172,-27.424,2,22,1,0.01
519,400,-18.473,15,46,0,0.01
520,400,-20.02,6,8,0,0.01
521,140,-22.162,2,57,1,0.01
522,275,-25.031,3,1,1,0.01
523,210,-12.847,11,36,1,0.01
524,215,-19.43,8,28,1,0.01
525,400,-17.837,6,3,0,0.01
526,10,-13.713,0,5,1,0.01
527,104,-15.272,4,5,1,0.01
528,78,-15.156,3,23,1,0.01
529,400,-24.772,6,14,0,0.01
530,400,-23.14,3,0,0,0.01
531,160,-15.702,8,49,1,0.01
532,108,-16.547,2,0,1,0.01
533,400,-23.549,14,25,0,0.01
534,400,-33.943,6,50,0,0.01
535,180,-28.01,1,18,1,0.01
536,375,-31.303,4,18,1,0.01
537,122,-21.433,1,11,1,0.01
538,400,-16.037,13,64,0,0.01
539,400,-12.293,11,22,0,0.01
540,400,-41.496,0,1,0,0.01
541,212,-19.092,8,23,1,0.01
542,208,-21.042,6,40,1,0.01
543,400,-23.018,3,3,0,0.01
544,400,-22.229,8,24,0,0.01
545,16,-9.586,3,2,1,0.01
546,69,-10.494,2,7,1,0.01
547,400,-14.258,5,2,0,0.01
548,120,-12.776,5,9,1,0.01
549,66,-11.899,6,28,1,0.01
550,79,-10.728,2,0,1,0.01
551,350,-35.166,5,14,1,0.01
552,86,-8.738,9,11,1,0.01
553,89,-17.298,1,3,1,0.01
554,27,-7.541,4,12,1,0.01
555,400,-16.622,5,1,0,0.01
556,38,-10.288,3,19,1,0.01
557,42,-11.748,4,7,1,0.01
558,197,-18.112,6,42,1,0.01
559,400,-19.207,8,1,0,0.01
560,104,-14.705,3,24,1,0.01
561,18,-12.308,1,4,1,0.01
562,154,-16.861,5,30,1,0.01
563,42,-7.606,6,16,1,0.01
564,211,-19.024,9,41,1,0.01
565,400,-14.795,7,10,0,0.01
566,372,-27.502,5,17,1,0.01
567,400,-17.819,9,23,0,0.01
