episode,steps,total_reward,coins,crates,invalid,killed_self,killed_opponents,survived,epsilon,alpha,buffer
307,9,-12.539,0,2,3,1,0,0,0.855,0.0176,3584
308,34,-16.712,0,1,18,1,0,0,0.854,0.0175,3618
309,11,-13.216,0,3,6,1,0,0,0.854,0.0175,3629
310,11,-14.763,0,3,5,1,0,0,0.853,0.0175,3640
311,6,-13.976,0,4,3,1,0,0,0.853,0.0175,3646
312,5,-14.074,0,3,2,1,0,0,0.852,0.0175,3651
313,14,-15.241,0,3,5,1,0,0,0.852,0.0175,3665
314,6,-14.524,0,3,3,1,0,0,0.851,0.0175,3671
315,9,-14.035,0,3,3,1,0,0,0.851,0.0175,3680
316,16,-13.864,0,4,4,1,0,0,0.85,0.0175,3696
317,10,-15.86,0,4,6,1,0,0,0.85,0.0175,3706
318,6,-14.219,0,2,3,1,0,0,0.849,0.0175,3712
319,6,-13.51,0,3,3,1,0,0,0.849,0.0175,3718
320,9,-14.0,0,3,3,1,0,0,0.848,0.0174,3727
321,21,-14.583,0,3,13,1,0,0,0.848,0.0174,3748
322,16,-15.192,0,3,8,1,0,0,0.848,0.0174,3764
323,19,-14.992,0,3,9,1,0,0,0.847,0.0174,3783
324,13,-14.511,0,4,8,1,0,0,0.847,0.0174,3796
325,32,-17.962,0,3,18,1,0,0,0.846,0.0174,3828
326,11,-14.002,0,4,4,1,0,0,0.846,0.0174,3839
327,10,-14.667,0,1,5,1,0,0,0.845,0.0174,3849
328,11,-14.399,0,2,6,1,0,0,0.845,0.0174,3860
329,13,-14.732,0,5,7,1,0,0,0.844,0.0174,3873
330,11,-14.895,0,3,6,1,0,0,0.844,0.0174,3884
331,7,-12.02,0,1,2,1,0,0,0.843,0.0174,3891
332,18,-15.839,0,3,12,1,0,0,0.843,0.0174,3909
333,23,-15.777,0,5,9,1,0,0,0.842,0.0173,3932
334,32,-16.311,0,5,15,1,0,0,0.842,0.0173,3964
335,9,-13.117,0,3,3,1,0,0,0.841,0.0173,3973
336,5,-15.497,0,3,3,1,0,0,0.841,0.0173,3978
337,7,-11.567,0,1,0,1,0,0,0.84,0.0173,3985
338,21,-14.246,0,2,7,1,0,0,0.84,0.0173,4006
339,12,-14.556,0,6,6,1,0,0,0.839,0.0173,4018
340,10,-14.009,0,5,5,1,0,0,0.839,0.0173,4028
341,6,-12.948,0,3,2,1,0,0,0.839,0.0173,4034
342,6,-15.175,0,2,3,1,0,0,0.838,0.0173,4040
343,5,-13.771,0,4,2,1,0,0,0.838,0.0173,4045
344,21,-16.198,0,2,8,1,0,0,0.837,0.0173,4066
345,5,-15.402,0,3,3,1,0,0,0.837,0.0172,4071
346,18,-15.272,0,3,9,1,0,0,0.836,0.0172,4089
347,6,-13.108,0,3,4,1,0,0,0.836,0.0172,4095
348,8,-15.395,0,3,5,1,0,0,0.835,0.0172,4103
349,6,-13.55,0,4,4,1,0,0,0.835,0.0172,4109
350,6,-15.002,0,2,2,1,0,0,0.834,0.0172,4115
351,6,-14.1,0,1,2,1,0,0,0.834,0.0172,4121
352,9,-14.746,0,3,5,1,0,0,0.833,0.0172,4130
353,5,-15.452,0,3,3,1,0,0,0.833,0.0172,4135
354,8,-14.739,0,2,5,1,0,0,0.832,0.0172,4143
355,17,-13.961,0,8,8,1,0,0,0.832,0.0172,4160
356,6,-13.245,0,2,4,1,0,0,0.831,0.0172,4166
357,22,-14.943,0,5,10,1,0,0,0.831,0.0172,4188
358,5,-15.372,0,3,2,1,0,0,0.83,0.0171,4193
359,11,-14.112,0,3,3,1,0,0,0.83,0.0171,4204
360,38,-15.821,0,4,18,1,0,0,0.829,0.0171,4242
361,9,-14.091,0,2,2,1,0,0,0.829,0.0171,4251
362,12,-14.413,0,1,4,1,0,0,0.829,0.0171,4263
363,5,-13.272,0,4,2,1,0,0,0.828,0.0171,4268
364,73,-17.12,0,10,31,1,0,0,0.828,0.0171,4341
365,6,-14.623,0,2,3,1,0,0,0.827,0.0171,4347
366,26,-16.063,0,5,12,1,0,0,0.827,0.0171,4373
367,5,-14.937,0,2,1,1,0,0,0.826,0.0171,4378
368,18,-12.699,0,5,7,1,0,0,0.826,0.0171,4396
369,7,-14.296,0,4,1,1,0,0,0.825,0.0171,4403
370,18,-14.748,0,2,5,1,0,0,0.825,0.017,4421
