seed,round,task,agent_name,score,coins,kills,self_kill,steps_survived,invalid_actions,round_total_coins,round_total_kills,round_total_suicides,opponent_scores,max_opponent_score,score_margin,win,tie,loss
27124,124,4,our_agent,1,1,0,0,52,0,9,1,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 6, ""rule_based_agent_2"": 0}",7,-6,0,0,1
27125,125,4,our_agent,2,2,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 5}",5,-3,0,0,1
27126,126,4,our_agent,2,2,0,0,400,2,9,0,1,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 2}",4,-2,0,0,1
27127,127,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 4, ""rule_based_agent_2"": 2}",4,-3,0,0,1
27128,128,4,our_agent,2,2,0,0,400,1,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-1,0,0,1
27129,129,4,our_agent,1,1,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 3}",3,-2,0,0,1
27130,130,4,our_agent,1,1,0,0,400,1,9,0,1,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-3,0,0,1
27131,131,4,our_agent,1,1,0,0,400,1,8,1,2,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 5}",7,-6,0,0,1
27132,132,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 1}",3,1,1,0,0
27133,133,4,our_agent,1,1,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 4, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 2}",7,-6,0,0,1
27134,134,4,our_agent,2,2,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 4}",4,-2,0,0,1
27135,135,4,our_agent,2,2,0,0,139,0,9,3,0,"{""rule_based_agent_0"": 9, ""rule_based_agent_1"": 7, ""rule_based_agent_2"": 6}",9,-7,0,0,1
27136,136,4,our_agent,4,4,0,0,400,0,9,1,0,"{""rule_based_agent_0"": 6, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 2}",6,-2,0,0,1
27137,137,4,our_agent,1,1,0,0,99,0,9,1,1,"{""rule_based_agent_0"": 8, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 5}",8,-7,0,0,1
27138,138,4,our_agent,3,3,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 4}",4,-1,0,0,1
27139,139,4,our_agent,6,6,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 0, ""rule_based_agent_1"": 0, ""rule_based_agent_2"": 3}",3,3,1,0,0
27140,140,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 0}",5,-4,0,0,1
27141,141,4,our_agent,6,1,1,0,198,1,9,2,0,"{""rule_based_agent_0"": 5, ""rule_based_agent_1"": 8, ""rule_based_agent_2"": 0}",8,-2,0,0,1
27142,142,4,our_agent,1,1,0,0,400,1,9,1,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 12, ""rule_based_agent_2"": 0}",12,-11,0,0,1
27143,143,4,our_agent,4,4,0,0,400,0,9,0,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 0}",3,1,1,0,0
27144,144,4,our_agent,7,2,1,0,400,1,9,1,0,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 3}",3,4,1,0,0
27145,145,4,our_agent,3,3,0,0,400,1,9,2,2,"{""rule_based_agent_0"": 7, ""rule_based_agent_1"": 9, ""rule_based_agent_2"": 0}",9,-6,0,0,1
27146,146,4,our_agent,1,1,0,1,135,1,9,0,3,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 3, ""rule_based_agent_2"": 4}",4,-3,0,0,1
27147,147,4,our_agent,1,1,0,0,400,0,9,0,2,"{""rule_based_agent_0"": 1, ""rule_based_agent_1"": 1, ""rule_based_agent_2"": 6}",6,-5,0,0,1
27148,148,4,our_agent,3,3,0,0,400,0,9,1,1,"{""rule_based_agent_0"": 3, ""rule_based_agent_1"": 5, ""rule_based_agent_2"": 3}",5,-2,0,0,1
27149,149,4,our_agent,9,4,1,0,330,3,9,1,3,"{""rule_based_agent_0"": 2, ""rule_based_agent_1"": 2, ""rule_based_agent_2"": 1}",2,7,1,0,0
